Date,Cases,Temperature
1 July 2020,382,20.333446565905682
2 July 2020,371,19.60109585368777
3 July 2020,259,17.829927224119984
4 July 2020,314,18.935696874444083
5 July 2020,231,20.890777846919715
6 July 2020,205,19.236115122878974
7 July 2020,257,13.656355306467328
8 July 2020,277,13.63033549687327
9 July 2020,262,15.95094072736947
10 July 2020,265,21.08566374563324
11 July 2020,305,14.573913662661216
12 July 2020,370,13.206493464149178
13 July 2020,299,13.511558265182659
14 July 2020,267,15.72208938910554
15 July 2020,264,17.485706179625872
16 July 2020,333,15.08994574884375
17 July 2020,353,15.252783905592057
18 July 2020,339,18.325876643614116
19 July 2020,358,19.24081720173913
20 July 2020,279,18.976405046795403
21 July 2020,399,16.822577657158106
22 July 2020,380,15.935431832930131
23 July 2020,418,15.58735532560954
24 July 2020,458,17.850873679511963
25 July 2020,584,18.790629145906518
26 July 2020,443,19.516152870749654
27 July 2020,337,19.38060249143934
28 July 2020,502,22.092801170108892
29 July 2020,512,19.706959155928452
30 July 2020,615,18.251613218441808
31 July 2020,657,17.019493498010906
1 August 2020,658,16.560818923327908
2 August 2020,548,18.51952207082861
3 August 2020,575,18.209905252807957
4 August 2020,680,17.25032434043809
5 August 2020,640,16.687772738123623
6 August 2020,726,19.829790884718502
7 August 2020,809,22.262498061668765
8 August 2020,843,22.993594507269588
9 August 2020,624,22.495887540356332
10 August 2020,619,21.643860922011328
11 August 2020,551,20.584115920545706
12 August 2020,715,18.959772855154522
13 August 2020,811,19.51475470022194
14 August 2020,825,20.198189111578337
15 August 2020,778,19.73772066443619
16 August 2020,594,19.679140166992465
17 August 2020,595,20.18680832174246
18 August 2020,597,18.800687893548975
19 August 2020,735,18.007116662237703
20 August 2020,767,19.20262258477479
21 August 2020,903,21.82925757217235
22 August 2020,900,21.833256054953328
23 August 2020,581,18.44361978627039
24 August 2020,548,17.35818577777779
25 August 2020,763,16.01735940089996
26 August 2020,729,17.282671490763637
27 August 2020,887,15.949408769864558
28 August 2020,791,16.0871274875805
29 August 2020,759,18.45800604672994
30 August 2020,631,19.817861467027267
31 August 2020,502,16.284934272577193
1 September 2020,550,13.329698422972568
2 September 2020,595,13.15964746523378
3 September 2020,612,13.953119875393002
4 September 2020,691,15.789266388872466
5 September 2020,567,17.762339639243276
6 September 2020,437,14.489650254868964
7 September 2020,302,12.35093623556523
8 September 2020,400,13.883941683078104
9 September 2020,421,16.708992571277644
10 September 2020,506,14.483749669845977
11 September 2020,594,13.533993837124022
12 September 2020,603,16.29168900489784
13 September 2020,502,16.652823311911185
14 September 2020,377,17.734967138078805
15 September 2020,605,18.963810600499144
16 September 2020,600,19.78970113322773
17 September 2020,837,13.490401646574492
18 September 2020,757,9.796584170042834
19 September 2020,1002,11.083418788359328
20 September 2020,910,12.39541565874086
21 September 2020,748,13.624144114962185
22 September 2020,711,15.764440031771295
23 September 2020,974,16.88231379928847
24 September 2020,1136,16.657710687762297
25 September 2020,1587,16.019364267231218
26 September 2020,1584,14.168917264916946
27 September 2020,1350,9.84465481263768
28 September 2020,1306,10.382882422104673
29 September 2020,1326,11.956138820964677
30 September 2020,1552,11.97263058378628
